Listing Title,Monthly Costs,Availability,Size,Deposit,Key Price,Floor,Year Built,Nearest Station
"1R APARTMENT
IN YOTSUYA
SHINJUKU-KU, TOKYO","Monthly Costs ¥70,000","Available From Mar 10, 2021",Size 16.83 m²,Deposit ¥0,Key Money ¥0,Floor 6 / 12F,Year Built 1978,Nearest Station Yotsuya San Choume Station (4 min. walk)
"1K APARTMENT
IN TAGARA
NERIMA-KU, TOKYO","Monthly Costs ¥69,050","Available From Mar 10, 2021",Size 17.39 m²,Deposit ¥0,Key Money ¥0,Floor 1 / 2F,Year Built 1992,Nearest Station Hikarigaoka Station (11 min. walk)
"2DK APARTMENT
IN AKATSUTSUMI
SETAGAYA-KU, TOKYO","Monthly Costs ¥107,000","Available From Mar 10, 2021",Size 36.52 m²,"Deposit ¥105,000",Key Money ¥0,Floor 1 / 2F,Year Built 1991,Nearest Station Matsubara Station (5 min. walk)
"1R APARTMENT
IN MAENOCHO
ITABASHI-KU, TOKYO","Monthly Costs ¥49,000","Available From Mar 10, 2021",Size 14.84 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 2F,Year Built 2001,Nearest Station Shimura-sakaue Station (5 min. walk)
"1R APARTMENT
IN MINAMICHO
ITABASHI-KU, TOKYO","Monthly Costs ¥70,000","Available From Mar 10, 2021",Size 15.89 m²,"Deposit ¥60,000",Key Money ¥0,Floor 4 / 5F,Year Built 1991,Nearest Station Oyama Station (10 min. walk)
"1K APARTMENT
IN ZOSHIGAYA
TOSHIMA-KU, TOKYO","Monthly Costs ¥77,000","Available From Mar 10, 2021",Size 16.38 m²,"Deposit ¥69,000",Key Money ¥0,Floor 2 / 5F,Year Built 1990,Nearest Station Zoushigaya Station (6 min. walk)
"1R APARTMENT
IN KITAKOIWA
EDOGAWA-KU, TOKYO","Monthly Costs ¥47,000","Available From Mar 10, 2021",Size 11.07 m²,Deposit ¥0,Key Money ¥0,Floor 1 / 2F,Year Built 2014,Nearest Station Keiseikoiwa Station (3 min. walk)
"1K APARTMENT
IN SHOWAMACHI
KITA-KU, TOKYO","Monthly Costs ¥82,000","Available From Mar 10, 2021",Size 33.00 m²,"Deposit ¥76,000",Key Money ¥0,Floor 3 / 6F,Year Built 1983,Nearest Station Arakawashakomae Station (3 min. walk)
"1R APARTMENT
IN OMORINAKA
OTA-KU, TOKYO","Monthly Costs ¥65,000","Available From Mar 10, 2021",Size 22.65 m²,Deposit ¥0,Key Money ¥0,Floor 5 / 14F,Year Built 1988,Nearest Station Umeyashiki Station (5 min. walk)
"PRIVATE GUESTHOUSE
IN SHIMOTAKAIDO
SUGINAMI-KU, TOKYO","Monthly Costs ¥140,000",Available Now,Size 12.00 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 8F,Year Built 2019,Nearest Station Kamikitazawa Station (5 min. walk)
"1K APARTMENT
IN IKEBUKUROHONCHO
TOSHIMA-KU, TOKYO","Monthly Costs ¥57,000","Available From Mar 10, 2021",Size 16.92 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 3F,Year Built 1990,Nearest Station Shimoitabashi Station (8 min. walk)
"1R APARTMENT
IN ASAGAYAKITA
SUGINAMI-KU, TOKYO","Monthly Costs ¥59,540","Available From Mar 10, 2021",Size 15.48 m²,Deposit ¥0,Key Money ¥0,Floor 1 / 2F,Year Built 1984,Nearest Station Asagaya Station (10 min. walk)
"1R APARTMENT
IN YOGA
SETAGAYA-KU, TOKYO","Monthly Costs ¥54,000","Available From Mar 10, 2021",Size 17.16 m²,"Deposit ¥48,000",Key Money ¥0,Floor 1 / 5F,Year Built 1981,Nearest Station Youga Station (1 min. walk)
"1K APARTMENT
IN MITA
MINATO-KU, TOKYO","Monthly Costs ¥144,704","Available From Feb 28, 2021",Size 25.95 m²,"Deposit ¥123,000","Key Money ¥123,000",Floor 7 / 10F,Year Built 2015,Nearest Station Shirokane-takanawa Station (8 min. walk)
"1K APARTMENT
IN SAKAI
MUSASHINO-SHI, TOKYO","Monthly Costs ¥74,550","Available From Mar 10, 2021",Size 19.87 m²,Deposit ¥0,"Key Money ¥68,000",Floor 1 / 3F,Year Built 2001,Nearest Station Musashisakai Station (3 min. walk)
"1R APARTMENT
IN MIDORI
SUMIDA-KU, TOKYO","Monthly Costs ¥77,000","Available From Mar 10, 2021",Size 21.15 m²,Deposit ¥0,"Key Money ¥72,000",Floor 11 / 14F,Year Built 1990,Nearest Station Kinshichou Station (9 min. walk)
"3LDK HOUSE
IN WADA
SUGINAMI-KU, TOKYO","Monthly Costs ¥220,000","Available From Mar 10, 2021",Size 74.00 m²,"Deposit ¥220,000","Key Money ¥220,000",Not Available,Year Built 2000,Nearest Station Higashi Koenji Station (5 min. walk)
"2DK APARTMENT
IN SHINJUKU
SHINJUKU-KU, TOKYO","Monthly Costs ¥133,000","Available From Mar 10, 2021",Size 42.00 m²,"Deposit ¥128,000",Key Money ¥0,Floor 1 / 5F,Year Built 1985,Nearest Station Higashi-Shinjuku Station (7 min. walk)
"1R APARTMENT
IN NAKAMEGURO
MEGURO-KU, TOKYO","Monthly Costs ¥130,000","Available From Mar 10, 2021",Size 27.88 m²,"Deposit ¥244,000",Key Money ¥0,Floor 9 / 11F,Year Built 2006,Nearest Station Nakameguro Station (7 min. walk)
"1R APARTMENT
IN KOENJIMINAMI
SUGINAMI-KU, TOKYO","Monthly Costs ¥48,000","Available From Mar 10, 2021",Size 13.00 m²,"Deposit ¥45,000",Key Money ¥0,Floor 3 / 4F,Year Built 1978,Nearest Station Koenji Station (9 min. walk)
"1R APARTMENT
IN KAMIMEGURO
MEGURO-KU, TOKYO","Monthly Costs ¥75,000","Available From Mar 10, 2021",Size 16.60 m²,"Deposit ¥71,000",Key Money ¥0,Floor 3 / 3F,Year Built 1998,Nearest Station Yutenji Station (8 min. walk)
"1R APARTMENT
IN NAKANO
NAKANO-KU, TOKYO","Monthly Costs ¥48,000","Available From Mar 10, 2021",Size 9.59 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 2F,Year Built 1978,Nearest Station Higashinakano Station (8 min. walk)
"1K APARTMENT
IN OKUSAWA
SETAGAYA-KU, TOKYO","Monthly Costs ¥93,500","Available From Mar 10, 2021",Size 24.00 m²,Deposit ¥0,"Key Money ¥90,500",Floor 1 / 2F,Year Built 2012,Nearest Station Jiyugaoka Station (8 min. walk)
"1K APARTMENT
IN HINODECHO
ADACHI-KU, TOKYO","Monthly Costs ¥57,000","Available From Mar 10, 2021",Size 12.55 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 3F,Year Built 2013,Nearest Station Kitasenju Station (8 min. walk)
"1LDK APARTMENT
IN HIGASHI
SHIBUYA-KU, TOKYO","Monthly Costs ¥174,000","Available From Mar 10, 2021",Size 50.00 m²,"Deposit ¥320,000",Key Money ¥0,Floor 3 / 7F,Year Built 1979,Nearest Station Daikanyama Station (7 min. walk)
"PRIVATE GUESTHOUSE
IN SHIMOTAKAIDO
SUGINAMI-KU, TOKYO","Monthly Costs ¥140,000",Available Now,Size 12.00 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 8F,Year Built 2019,Nearest Station Kamikitazawa Station (5 min. walk)
"1R APARTMENT
IN NISHINIPPORI
ARAKAWA-KU, TOKYO","Monthly Costs ¥54,000","Available From Mar 10, 2021",Size 15.48 m²,Deposit ¥0,"Key Money ¥54,000",Floor 2 / 4F,Year Built 1990,Nearest Station Nishinippori Station (5 min. walk)
"3LDK APARTMENT
IN SHINKAMATA
OTA-KU, TOKYO","Monthly Costs ¥168,000","Available From Mar 10, 2021",Size 64.03 m²,"Deposit ¥158,000",Key Money ¥0,Floor 3 / 6F,Year Built 1992,Nearest Station Yaguchinowatashi Station (10 min. walk)
"1K APARTMENT
IN NERIMA
NERIMA-KU, TOKYO","Monthly Costs ¥70,000","Available From Mar 10, 2021",Size 19.25 m²,"Deposit ¥62,000",Key Money ¥0,Floor 11 / 14F,Year Built 1994,Nearest Station Nerima Station (5 min. walk)
"1K APARTMENT
IN KITASHINJUKU
SHINJUKU-KU, TOKYO","Monthly Costs ¥66,000","Available From Mar 10, 2021",Size 17.82 m²,"Deposit ¥62,000",Key Money ¥0,Floor 3 / 3F,Year Built 1973,Nearest Station Nishi-shinjuku Station (8 min. walk)
"1LDK APARTMENT
IN SENDAGAYA
SHIBUYA-KU, TOKYO","Monthly Costs ¥210,000","Available From Mar 10, 2021",Size 43.92 m²,"Deposit ¥200,000",Key Money ¥0,Floor 3 / 7F,Year Built 2005,Nearest Station Harajuku Station (4 min. walk)
"1K APARTMENT
IN KAMITAKAIDO
SUGINAMI-KU, TOKYO","Monthly Costs ¥80,000","Available From Mar 10, 2021",Size 25.51 m²,"Deposit ¥75,000",Key Money ¥0,Floor 2 / 6F,Year Built 2001,Nearest Station Fujimigaoka Station (8 min. walk)
"2K APARTMENT
IN KOTOBUKICHO
FUCHU-SHI, TOKYO","Monthly Costs ¥74,000","Available From Mar 10, 2021",Size 37.00 m²,"Deposit ¥72,000",Key Money ¥0,Floor 4 / 6F,Year Built 1989,Nearest Station Fuchu Station (8 min. walk)
"2DK APARTMENT
IN ASAGAYAMINAMI
SUGINAMI-KU, TOKYO","Monthly Costs ¥135,000","Available From Mar 10, 2021",Size 40.06 m²,Deposit ¥0,Key Money ¥0,Floor 4 / 4F,Year Built 1991,Nearest Station Asagaya Station (9 min. walk)
"1R APARTMENT
IN MISHUKU
SETAGAYA-KU, TOKYO","Monthly Costs ¥62,000","Available From Mar 10, 2021",Size 15.39 m²,"Deposit ¥57,000",Key Money ¥0,Floor 3 / 3F,Year Built 1981,Nearest Station Sangenjaya Station (9 min. walk)
"1R APARTMENT
IN HOMMACHI
SHIBUYA-KU, TOKYO","Monthly Costs ¥70,000","Available From Mar 10, 2021",Size 19.80 m²,Deposit ¥0,Key Money ¥0,Floor 3 / 4F,Year Built 1988,Nearest Station Hatagaya Station (9 min. walk)
"1R APARTMENT
IN NISHINIPPORI
ARAKAWA-KU, TOKYO","Monthly Costs ¥83,000","Available From Mar 10, 2021",Size 28.05 m²,"Deposit ¥78,000",Key Money ¥0,Floor 9 / 10F,Year Built 1987,Nearest Station Nippori Station (3 min. walk)
"1LDK APARTMENT
IN MINAMIAZABU
MINATO-KU, TOKYO","Monthly Costs ¥298,000","Available From Mar 10, 2021",Size 63.77 m²,"Deposit ¥576,000","Key Money ¥288,000",Floor 2 / 3F,Year Built 2013,Nearest Station Azabu-juban Station (7 min. walk)
"1K APARTMENT
IN MATSUNOKI
SUGINAMI-KU, TOKYO","Monthly Costs ¥56,000","Available From Mar 10, 2021",Size 19.25 m²,"Deposit ¥53,000",Key Money ¥0,Floor 1 / 2F,Year Built 1980,Nearest Station Shin Koenji Station (12 min. walk)
"2DK APARTMENT
IN HANAKOGANEI
KODAIRA-SHI, TOKYO","Monthly Costs ¥95,050","Available From Mar 10, 2021",Size 46.36 m²,"Deposit ¥90,500",Key Money ¥0,Floor 1 / 2F,Year Built 1999,Nearest Station Hanakoganei Station (14 min. walk)
"1R APARTMENT
IN YOYOGI
SHIBUYA-KU, TOKYO","Monthly Costs ¥98,000","Available From Mar 10, 2021",Size 22.05 m²,Deposit ¥0,Key Money ¥0,Floor 4 / 14F,Year Built 1976,Nearest Station Minami Shinjuku Station (7 min. walk)
"PRIVATE GUESTHOUSE
IN SHIMOTAKAIDO
SUGINAMI-KU, TOKYO","Monthly Costs ¥140,000",Available Now,Size 12.00 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 8F,Year Built 2019,Nearest Station Kamikitazawa Station (5 min. walk)
"1K APARTMENT
IN MINAMIOGIKUBO
SUGINAMI-KU, TOKYO","Monthly Costs ¥53,000","Available From Mar 10, 2021",Size 16.50 m²,"Deposit ¥49,000","Key Money ¥49,000",Floor 1 / 5F,Year Built 1986,Nearest Station Ogikubo Station (8 min. walk)
"1LDK APARTMENT
IN TAKABAN
MEGURO-KU, TOKYO","Monthly Costs ¥130,000","Available From Mar 10, 2021",Size 36.00 m²,Deposit ¥0,Key Money ¥0,Floor 5 / 5F,Year Built 1972,Nearest Station Gakugei Daigaku Station (3 min. walk)
"2LDK APARTMENT
IN KAMITAKADA
NAKANO-KU, TOKYO","Monthly Costs ¥153,000","Available From Mar 10, 2021",Size 52.41 m²,"Deposit ¥143,000",Key Money ¥0,Floor 2 / 3F,Year Built 2016,Nearest Station Ochiai Station (12 min. walk)
"1K APARTMENT
IN ARIAKE
KOTO-KU, TOKYO","Monthly Costs ¥119,000","Available From Mar 10, 2021",Size 36.42 m²,Deposit ¥0,Key Money ¥0,Floor 5 / 9F,Year Built 2008,Nearest Station Ariake Tenisu No Mori Station (2 min. walk)
"2DK APARTMENT
IN KUMANOCHO
ITABASHI-KU, TOKYO","Monthly Costs ¥112,000","Available From Mar 10, 2021",Size 42.00 m²,Deposit ¥0,Key Money ¥0,Floor 4 / 11F,Year Built 1985,Nearest Station Itabashikuyakushomae Station (10 min. walk)
"1R APARTMENT
IN MINAMICHO
KOKUBUNJI-SHI, TOKYO","Monthly Costs ¥104,000","Available From Mar 10, 2021",Size 37.09 m²,"Deposit ¥99,000",Key Money ¥0,Floor 3 / 6F,Year Built 2002,Nearest Station Kokubunji Station (3 min. walk)
"1R APARTMENT
IN NIHOMBASHIHAKOZAKICHO
CHUO-KU, TOKYO","Monthly Costs ¥75,000","Available From Mar 10, 2021",Size 19.43 m²,"Deposit ¥71,000","Key Money ¥71,000",Floor 5 / 12F,Year Built 1980,Nearest Station Suitengumae Station (8 min. walk)
"1R APARTMENT
IN KITASHINJUKU
SHINJUKU-KU, TOKYO","Monthly Costs ¥72,000","Available From Mar 10, 2021",Size 16.41 m²,"Deposit ¥64,800",Key Money ¥0,Floor 4 / 5F,Year Built 1996,Nearest Station Higashinakano Station (6 min. walk)
"1LDK APARTMENT
IN KASUGACHO
NERIMA-KU, TOKYO","Monthly Costs ¥76,000","Available From Mar 10, 2021",Size 35.00 m²,"Deposit ¥76,000",Key Money ¥0,Floor 2 / 2F,Year Built 1990,Nearest Station Heiwadai Station (7 min. walk)
"1DK APARTMENT
IN NISHISHINJUKU
SHINJUKU-KU, TOKYO","Monthly Costs ¥98,000","Available From Mar 10, 2021",Size 31.81 m²,"Deposit ¥96,000",Key Money ¥0,Floor 1 / 2F,Year Built 1995,Nearest Station Nishi-shinjuku Station (5 min. walk)
"1R APARTMENT
IN KITAOTSUKA
TOSHIMA-KU, TOKYO","Monthly Costs ¥68,000","Available From Mar 10, 2021",Size 21.16 m²,"Deposit ¥65,000","Key Money ¥65,000",Floor 2 / 4F,Year Built 1995,Nearest Station Otsukaekimae Station (5 min. walk)
"1K APARTMENT
IN TAKANAWA
MINATO-KU, TOKYO","Monthly Costs ¥80,000","Available From Mar 10, 2021",Size 21.42 m²,"Deposit ¥75,000","Key Money ¥75,000",Floor 3 / 3F,Year Built 1993,Nearest Station Shinagawa Station (5 min. walk)
"2DK APARTMENT
IN IWADO MINAMI
KOMAE-SHI, TOKYO","Monthly Costs ¥86,000","Available From Mar 10, 2021",Size 43.43 m²,"Deposit ¥82,000","Key Money ¥82,000",Floor 3 / 4F,Year Built 1989,Nearest Station Kitami Station (10 min. walk)
"2K APARTMENT
IN SAKAECHO
ITABASHI-KU, TOKYO","Monthly Costs ¥72,000","Available From Mar 10, 2021",Size 30.00 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 2F,Year Built 1982,Nearest Station Oyama Station (9 min. walk)
"1R APARTMENT
IN KOYAMA
SHINAGAWA-KU, TOKYO","Monthly Costs ¥89,000","Available From Mar 10, 2021",Size 18.69 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 2F,Year Built 2019,Nearest Station Fudoumae Station (9 min. walk)
"PRIVATE GUESTHOUSE
IN SHIMOTAKAIDO
SUGINAMI-KU, TOKYO","Monthly Costs ¥140,000",Available Now,Size 12.00 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 8F,Year Built 2019,Nearest Station Kamikitazawa Station (5 min. walk)
"2DK APARTMENT
IN MINATO
CHUO-KU, TOKYO","Monthly Costs ¥229,000","Available From Mar 10, 2021",Size 46.98 m²,"Deposit ¥438,000",Key Money ¥0,Floor 3 / 14F,Year Built 2004,Nearest Station Shintomichou Station (3 min. walk)
"1R APARTMENT
IN SANGENJAYA
SETAGAYA-KU, TOKYO","Monthly Costs ¥70,000","Available From Mar 10, 2021",Size 14.08 m²,Deposit ¥0,Key Money ¥0,Floor 4 / 5F,Year Built 1983,Nearest Station Sangenjaya Station (3 min. walk)
"2DK APARTMENT
IN NEGISHI
TAITO-KU, TOKYO","Monthly Costs ¥120,000","Available From Mar 10, 2021",Size 38.84 m²,Deposit ¥0,Key Money ¥0,Floor 4 / 9F,Year Built 1988,Nearest Station Iriya Station (4 min. walk)
"1K APARTMENT
IN TOYAMA(SONOTA)
SHINJUKU-KU, TOKYO","Monthly Costs ¥59,000","Available From Mar 10, 2021",Size 20.87 m²,Deposit ¥0,Key Money ¥0,Floor 6 / 6F,Year Built 1971,Nearest Station Nishiwaseda Station (4 min. walk)
"2DK APARTMENT
IN HANEGI
SETAGAYA-KU, TOKYO","Monthly Costs ¥125,000","Available From Mar 10, 2021",Size 50.98 m²,"Deposit ¥122,000",Key Money ¥0,Floor 1 / 3F,Year Built 1988,Nearest Station Higashimatsubara Station (6 min. walk)
"1K APARTMENT
IN TAKAMATSUCHO
TACHIKAWA-SHI, TOKYO","Monthly Costs ¥65,000","Available From Mar 10, 2021",Size 22.71 m²,"Deposit ¥60,000",Key Money ¥0,Floor 2 / 6F,Year Built 1995,Nearest Station Tachikawa Kita Station (10 min. walk)
"1K APARTMENT
IN SAKURAJOSUI
SETAGAYA-KU, TOKYO","Monthly Costs ¥62,000","Available From Mar 10, 2021",Size 15.06 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 3F,Year Built 1989,Nearest Station Sakurajousui Station (2 min. walk)
"1R APARTMENT
IN HIMONYA
MEGURO-KU, TOKYO","Monthly Costs ¥56,000","Available From Mar 10, 2021",Size 12.84 m²,Deposit ¥0,Key Money ¥0,Floor 5 / 5F,Year Built 1984,Nearest Station Gakugei Daigaku Station (8 min. walk)
"1R APARTMENT
IN OKUBO
SHINJUKU-KU, TOKYO","Monthly Costs ¥63,000","Available From Mar 10, 2021",Size 16.24 m²,"Deposit ¥60,000",Key Money ¥0,Floor 2 / 2F,Year Built 1978,Nearest Station Shinokubo Station (6 min. walk)
"1R APARTMENT
IN SHIOMI
KOTO-KU, TOKYO","Monthly Costs ¥79,000","Available From Mar 10, 2021",Size 18.90 m²,"Deposit ¥77,000",Key Money ¥0,Floor 4 / 6F,Year Built 1989,Nearest Station Shiomi Station (4 min. walk)
"2LDK APARTMENT
IN NAKAMEGURO
MEGURO-KU, TOKYO","Monthly Costs ¥129,000","Available From Mar 10, 2021",Size 44.63 m²,"Deposit ¥129,000","Key Money ¥129,000",Floor 2 / 2F,Year Built 1986,Nearest Station Nakameguro Station (6 min. walk)
"1DK APARTMENT
IN SHINKAWA
CHUO-KU, TOKYO","Monthly Costs ¥143,000","Available From Mar 10, 2021",Size 40.20 m²,"Deposit ¥131,000",Key Money ¥0,Floor 4 / 13F,Year Built 2002,Nearest Station Hacchoubori Station (3 min. walk)
"1LDK APARTMENT
IN SASAZUKA
SHIBUYA-KU, TOKYO","Monthly Costs ¥195,000","Available From Mar 10, 2021",Size 45.42 m²,"Deposit ¥185,000",Key Money ¥0,Floor 2 / 10F,Year Built 2003,Nearest Station Sasazuka Station (1 min. walk)
"1R APARTMENT
IN MINAMIAZABU
MINATO-KU, TOKYO","Monthly Costs ¥162,000","Available From Mar 10, 2021",Size 25.27 m²,"Deposit ¥308,000","Key Money ¥154,000",Floor 8 / 9F,Year Built 2001,Nearest Station Azabu-juban Station (6 min. walk)
"1DK APARTMENT
IN FUDA
CHOFU-SHI, TOKYO","Monthly Costs ¥77,000","Available From Mar 10, 2021",Size 26.74 m²,"Deposit ¥72,000","Key Money ¥72,000",Floor 2 / 3F,Year Built 2004,Nearest Station Choufu Station (3 min. walk)
"PRIVATE GUESTHOUSE
IN SHIMOTAKAIDO
SUGINAMI-KU, TOKYO","Monthly Costs ¥140,000",Available Now,Size 12.00 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 8F,Year Built 2019,Nearest Station Kamikitazawa Station (5 min. walk)
"1K APARTMENT
IN ARAI
NAKANO-KU, TOKYO","Monthly Costs ¥65,000","Available From Mar 10, 2021",Size 17.00 m²,"Deposit ¥59,000","Key Money ¥59,000",Floor 2 / 5F,Year Built 1991,Nearest Station Numabukuro Station (4 min. walk)
"1R APARTMENT
IN MINAMIAOYAMA
MINATO-KU, TOKYO","Monthly Costs ¥218,000","Available From Mar 10, 2021",Size 46.05 m²,"Deposit ¥203,000",Key Money ¥0,Floor 4 / 9F,Year Built 2003,Nearest Station Gaien Mae Station (7 min. walk)
"1K APARTMENT
IN OTSUKA
BUNKYO-KU, TOKYO","Monthly Costs ¥124,000","Available From Mar 10, 2021",Size 38.24 m²,"Deposit ¥117,000","Key Money ¥117,000",Floor 2 / 9F,Year Built 2009,Nearest Station Myōgadani Station (8 min. walk)
"1K APARTMENT
IN NAKAKASAI
EDOGAWA-KU, TOKYO","Monthly Costs ¥56,000","Available From Mar 10, 2021",Size 19.00 m²,Deposit ¥0,Key Money ¥0,Floor 1 / 2F,Year Built 1988,Nearest Station Kasai Station (5 min. walk)
"1K APARTMENT
IN IKEBUKUROHONCHO
TOSHIMA-KU, TOKYO","Monthly Costs ¥60,000","Available From Mar 10, 2021",Size 20.00 m²,"Deposit ¥60,000",Key Money ¥0,Floor 2 / 3F,Year Built 1990,Nearest Station Kita Ikebukuro Station (5 min. walk)
"2LDK APARTMENT
IN KACHIDOKI
CHUO-KU, TOKYO","Monthly Costs ¥378,000","Available From Mar 10, 2021",Size 90.52 m²,"Deposit ¥716,000","Key Money ¥358,000",Floor 12 / 60F,Year Built 2008,Nearest Station Kachidoki Station (5 min. walk)
"1K APARTMENT
IN TOYOTAMAKITA
NERIMA-KU, TOKYO","Monthly Costs ¥79,000","Available From Mar 10, 2021",Size 22.47 m²,"Deposit ¥75,000",Key Money ¥0,Floor 2 / 6F,Year Built 1991,Nearest Station Nerima Station (5 min. walk)
"1R APARTMENT
IN WAKAMIYA
NAKANO-KU, TOKYO","Monthly Costs ¥56,000","Available From Mar 10, 2021",Size 14.00 m²,Deposit ¥0,Key Money ¥0,Floor 1 / 2F,Year Built 1990,Nearest Station Toritsu Kasei Station (7 min. walk)
"2LDK HOUSE
IN MATSUBARA
SETAGAYA-KU, TOKYO","Monthly Costs ¥175,000","Available From Mar 10, 2021",Size 58.91 m²,Deposit ¥0,"Key Money ¥175,000",Not Available,Year Built 2017,Nearest Station Higashimatsubara Station (9 min. walk)
"1K APARTMENT
IN MINAMIOGIKUBO
SUGINAMI-KU, TOKYO","Monthly Costs ¥53,000","Available From Mar 10, 2021",Size 16.50 m²,"Deposit ¥49,000","Key Money ¥49,000",Floor 1 / 5F,Year Built 1986,Nearest Station Ogikubo Station (8 min. walk)
"1R APARTMENT
IN KABUKICHO
SHINJUKU-KU, TOKYO","Monthly Costs ¥80,000","Available From Mar 10, 2021",Size 15.06 m²,Deposit ¥0,"Key Money ¥76,000",Floor 7 / 9F,Year Built 1981,Nearest Station Shinjukusanchoume Station (4 min. walk)
"2LDK APARTMENT
IN HIGASHINIPPORI
ARAKAWA-KU, TOKYO","Monthly Costs ¥169,000","Available From Mar 10, 2021",Size 74.94 m²,Deposit ¥0,Key Money ¥0,Floor 1 / 3F,Year Built 2018,Nearest Station Mikawashima Station (6 min. walk)
"1K APARTMENT
IN KAMIMEGURO
MEGURO-KU, TOKYO","Monthly Costs ¥78,000","Available From Mar 10, 2021",Size 19.86 m²,"Deposit ¥76,000",Key Money ¥0,Floor 1 / 2F,Year Built 1988,Nearest Station Nakameguro Station (7 min. walk)
"1LDK APARTMENT
IN SAKURAJOSUI
SETAGAYA-KU, TOKYO","Monthly Costs ¥124,000","Available From Mar 10, 2021",Size 53.15 m²,"Deposit ¥116,000","Key Money ¥116,000",Floor 1 / 4F,Year Built 2003,Nearest Station Sakurajousui Station (8 min. walk)
"2K APARTMENT
IN HIROO
SHIBUYA-KU, TOKYO","Monthly Costs ¥123,000","Available From Mar 10, 2021",Size 30.13 m²,"Deposit ¥116,000",Key Money ¥0,Floor 2 / 5F,Year Built 1995,Nearest Station Hiroo Station (8 min. walk)
"PRIVATE GUESTHOUSE
IN SHIMOTAKAIDO
SUGINAMI-KU, TOKYO","Monthly Costs ¥140,000",Available Now,Size 12.00 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 8F,Year Built 2019,Nearest Station Kamikitazawa Station (5 min. walk)
"1K APARTMENT
IN HIGASHIMAGOME
OTA-KU, TOKYO","Monthly Costs ¥76,500","Available From Mar 10, 2021",Size 19.82 m²,"Deposit ¥66,500",Key Money ¥0,Floor 1 / 4F,Year Built 2009,Nearest Station Magome Station (5 min. walk)
"2LDK APARTMENT
IN HARAMACHIDA
MACHIDA-SHI, TOKYO","Monthly Costs ¥163,000","Available From Mar 10, 2021",Size 54.24 m²,"Deposit ¥155,000",Key Money ¥0,Floor 3 / 14F,Year Built 2007,Nearest Station Machida Station (2 min. walk)
"1K APARTMENT
IN SHIROKANEDAI
MINATO-KU, TOKYO","Monthly Costs ¥132,000","Available From Mar 10, 2021",Size 25.48 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 11F,Year Built 2014,Nearest Station Takanawadai Station (2 min. walk)
"1R APARTMENT
IN SENJU KAWARACHO
ADACHI-KU, TOKYO","Monthly Costs ¥64,000","Available From Mar 10, 2021",Size 13.42 m²,Deposit ¥0,"Key Money ¥61,000",Floor 3 / 3F,Year Built 2016,Nearest Station Kitasenju Station (16 min. walk)
"1DK APARTMENT
IN EBISU
SHIBUYA-KU, TOKYO","Monthly Costs ¥128,000","Available From Mar 10, 2021",Size 28.06 m²,"Deposit ¥120,000","Key Money ¥120,000",Floor 2 / 2F,Year Built 2002,Nearest Station Ebisu Station (7 min. walk)
"2DK APARTMENT
IN UMEZATO
SUGINAMI-KU, TOKYO","Monthly Costs ¥100,000","Available From Mar 10, 2021",Size 42.52 m²,"Deposit ¥100,000",Key Money ¥0,Floor 7 / 8F,Year Built 1980,Nearest Station Shin Koenji Station (7 min. walk)
"1R APARTMENT
IN SHINJUKU
SHINJUKU-KU, TOKYO","Monthly Costs ¥58,000","Available From Mar 10, 2021",Size 15.00 m²,"Deposit ¥58,000",Key Money ¥0,Floor 2 / 4F,Year Built 1992,Nearest Station Higashi-Shinjuku Station (4 min. walk)
"1R APARTMENT
IN SETAGAYA
SETAGAYA-KU, TOKYO","Monthly Costs ¥64,000","Available From Mar 10, 2021",Size 16.57 m²,"Deposit ¥57,500",Key Money ¥0,Floor 1 / 5F,Year Built 1992,Nearest Station Kamimachi Station (2 min. walk)
"4LDK APARTMENT
IN HIROO
SHIBUYA-KU, TOKYO","Monthly Costs ¥390,000","Available From Mar 10, 2021",Size 118.06 m²,"Deposit ¥780,000","Key Money ¥390,000",Floor 7 / 12F,Year Built 1970,Nearest Station Ebisu Station (7 min. walk)
"1R APARTMENT
IN KAMIYA
KITA-KU, TOKYO","Monthly Costs ¥72,000","Available From Mar 10, 2021",Size 23.94 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 2F,Year Built 2002,Nearest Station Ouji Kamiya Station (9 min. walk)
"1K APARTMENT
IN WASEDA TSURUMAKICHO
SHINJUKU-KU, TOKYO","Monthly Costs ¥85,000","Available From Mar 10, 2021",Size 21.12 m²,Deposit ¥0,Key Money ¥0,Floor 3 / 3F,Year Built 2000,Nearest Station Waseda Station (8 min. walk)
